Frame,Time (s),Point ID,X,Y,Vx,Vy,Ax,Ay
54,1.80,2,866,816,164.27,-91.19,4766.17,-2897.84
54,1.80,3,869,790,147.59,-96.97,4265.25,-3071.36
54,1.80,4,872,819,215.00,-78.17,6315.71,-2479.29
54,1.80,5,874,793,147.74,-94.82,4270.76,-3005.81
54,1.80,6,866,818,163.84,-89.69,4761.45,-2844.44
55,1.83,0,867,790,150.86,-78.53,4368.70,-2513.02
55,1.83,1,885,792,147.99,-91.57,4284.73,-2901.97
55,1.83,2,871,813,141.49,-91.62,4080.35,-2912.89
55,1.83,3,874,788,155.16,-76.86,4507.27,-2453.45
55,1.83,4,876,816,148.14,-88.00,4229.19,-2855.07
55,1.83,5,879,790,148.82,-87.86,4316.72,-2783.47
55,1.83,6,871,815,154.40,-88.13,4468.05,-2807.69
56,1.87,0,872,787,153.75,-88.19,4461.58,-2796.59
56,1.87,1,890,789,145.68,-79.88,4222.42,-2544.27
56,1.87,2,876,810,151.85,-89.96,4414.05,-2840.33
56,1.87,3,879,785,157.44,-84.39,4568.13,-2686.80
56,1.87,4,882,813,165.00,-92.33,4801.97,-2917.96
56,1.87,5,884,788,153.72,-79.30,4462.81,-2527.96
56,1.87,6,876,812,147.57,-92.46,4272.82,-2928.22
57,1.90,0,877,784,162.87,-86.60,4732.26,-2751.68
57,1.90,1,896,786,167.41,-98.74,4876.55,-3107.92
57,1.90,2,881,807,162.85,-87.63,4733.60,-2780.77
57,1.90,3,884,782,155.47,-92.14,4506.53,-2921.77
57,1.90,4,887,810,154.33,-90.91,4464.91,-2892.41
57,1.90,5,890,784,158.69,-96.00,4606.98,-3033.73
57,1.90,6,881,809,160.53,-90.03,4668.45,-2848.45
58,1.93,0,882,782,151.47,-83.04,4381.35,-2654.13
58,1.93,1,901,783,145.01,-80.07,4182.85,-2569.40
58,1.93,2,886,804,149.30,-91.88,4316.28,-2919.37
58,1.93,3,889,779,153.95,-76.01,4462.97,-2435.84
58,1.93,4,893,807,165.15,-97.25,4800.28,-3071.80
58,1.93,5,894,782,148.62,-80.27,4300.00,-2566.78
58,1.93,6,886,806,159.83,-88.87,4634.28,-2826.59
59,1.97,0,887,779,145.87,-86.84,4224.54,-2756.61
59,1.97,1,906,780,151.05,-84.19,4386.63,-2670.76
59,1.97,2,892,801,158.45,-82.14,4604.20,-2613.65
59,1.97,3,895,776,153.79,-87.65,4459.71,-2783.52
59,1.97,4,896,804,102.62,-79.91,2913.54,-2562.37
59,1.97,5,900,779,152.44,-87.83,4424.44,-2783.42
59,1.97,6,891,804,144.48,-85.26,4174.50,-2717.77
60,2.00,0,892,776,146.77,-82.24,4257.29,-2613.18
60,2.00,1,911,777,147.61,-88.75,4277.37,-2813.65
60,2.00,2,896,798,139.60,-93.46,4029.43,-2962.16
60,2.00,3,899,774,139.86,-85.32,4041.89,-2713.33
60,2.00,4,902,801,172.81,-94.82,5081.60,-2947.15
60,2.00,5,904,776,141.62,-83.75,4096.03,-2665.01
60,2.00,6,896,801,143.94,-91.58,4173.64,-2891.94
61,2.03,0,897,773,154.33,-85.03,4483.14,-2697.69
61,2.03,1,915,775,139.76,-80.56,4045.21,-2564.50
61,2.03,2,901,796,159.04,-79.31,4631.55,-2518.79
61,2.03,3,904,771,157.20,-80.32,4576.08,-2549.32
61,2.03,4,908,799,171.58,-76.16,4974.73,-2457.47
61,2.03,5,909,773,152.20,-80.09,4424.30,-2544.27
61,2.03,6,901,798,163.98,-81.64,4775.57,-2593.28
62,2.07,0,902,770,140.31,-78.35,4054.86,-2504.69
62,2.07,1,921,772,157.09,-88.38,4572.88,-2791.20
62,2.07,2,906,792,127.64,-100.28,3670.25,-3167.42
